Word 1,Word 2,Human (Mean),Cosine Similarity
fighting,defeating,5.5,0.0842355489730835
five,month,1.069,0.1710382103919983
focus,life,2.3125,0.13514728844165802
food,fruit,7.0625,0.08522039651870728
food,preparation,3.75,0.1267513930797577
food,rooster,2.5625,0.12476956844329834
football,basketball,4.125,0.3967546820640564
football,soccer,8.5625,0.34317681193351746
football,tennis,3.6875,0.3514028787612915
forest,graveyard,1.394,0.12950362265110016
fuck,sex,8.25,-0.0212418083101511
furnace,stove,8.0625,0.21707147359848022
game,defeat,3.6875,0.1543443500995636
game,round,5.1875,0.18835484981536865
game,series,4.5625,0.11697687208652496
game,team,4.625,0.16733628511428833
game,victory,4.6875,0.1156788319349289
glass,magician,1.0,0.007857817225158215
glass,metal,2.1875,0.23163539171218872
government,crisis,3.625,0.050477396696805954
governor,interview,1.625,0.06497129797935486
governor,office,4.3125,0.14424993097782135
grocery,money,3.375,0.037757404148578644
Harvard,Yale,4.875,0.3846968412399292
holy,sex,1.069,0.07160012423992157
hotel,reservation,5.0625,0.1469450294971466
hundred,percent,4.4375,0.22355616092681885
image,surface,1.8125,0.12255819141864777
investigation,effort,3.75,0.20278418064117432
jaguar,car,5.3125,0.24438631534576416
jaguar,cat,6.4375,0.25665760040283203
Japanese,American,3.125,0.14234933257102966
Jerusalem,Israel,6.4375,0.21423311531543732
journal,association,2.625,0.10729921609163284
journey,car,4.0625,0.08245471119880676
journey,voyage,7.5,0.19541779160499573
king,cabbage,0.625,0.0934501439332962
king,queen,5.6875,0.1947811245918274
lad,brother,4.9375,0.05983106791973114
lad,wizard,1.6875,0.13818173110485077
law,lawyer,6.1875,0.13419680297374725
lawyer,evidence,3.9375,0.0012073734542354941
liability,insurance,4.375,0.4123275578022003
life,death,4.375,0.084373839199543
life,lesson,3.1875,0.13668078184127808
life,term,3.8125,0.011885520070791245
line,insurance,1.3125,-0.05087994039058685
liquid,water,7.0625,0.2933071255683899
listing,category,5.375,0.09455659240484238
listing,proximity,1.4375,0.10689074546098709
love,sex,6.375,0.1339048594236374
lover,quarrel,1.6875,0.05657198280096054
luxury,car,3.3125,0.16620218753814697
magician,wizard,7.6875,0.15837261080741882
man,governor,4.25,0.025280660018324852
man,woman,4.5,0.3033916652202606
Mars,scientist,4.375,0.03364109247922897
Mars,water,1.5625,0.03266160562634468
media,gain,1.375,0.06614426523447037
media,radio,6.4375,0.0885125994682312
media,trading,1.8125,0.08265005797147751
Mexico,Brazil,3.9375,0.25344419479370117
midday,noon,8.9375,0.17066912353038788
mile,kilometer,6.9375,0.2432572841644287
minister,party,3.0625,0.07655160874128342
ministry,culture,2.844,0.20712822675704956
minority,peace,1.1875,0.04813952371478081
money,bank,6.0,0.15379905700683594
money,cash,8.875,0.17413069307804108
money,cash,9.0315,0.17413069307804108
money,currency,7.9375,0.0971110463142395
money,deposit,5.375,0.007104372605681419
money,dollar,7.6875,0.21244493126869202
money,laundering,4.4565,-0.0021464216988533735
money,operation,1.875,0.10475881397724152
money,possession,4.3125,0.10256306082010269
money,property,5.0625,0.1773088574409485
money,wealth,7.0625,0.014981714077293873
money,withdrawal,4.0625,0.105145163834095
monk,slave,2.5625,0.11836794018745422
month,hotel,1.0625,0.07423854619264603
morality,importance,2.5,-0.01253597717732191
morality,marriage,2.375,0.12187410891056061
movie,critic,3.1875,0.016129130497574806
movie,star,4.3125,0.26853641867637634
movie,theater,6.125,0.23113487660884857
murder,manslaughter,7.5,0.10660451650619507
museum,theater,3.875,0.2216053605079651
music,project,3.1875,0.0471249558031559
nature,environment,6.9375,0.2337162047624588
nature,man,2.9375,0.07820352166891098
network,hardware,3.8125,0.02663576230406761
news,report,6.8125,0.2285442054271698
noon,string,0.6875,0.009941100142896175
observation,architecture,1.875,0.006349584553390741
oil,stock,2.9375,0.1776534914970398
opera,industry,1.194,-0.017089737579226494
opera,performance,4.875,0.15754392743110657
peace,atmosphere,2.1875,0.009228073991835117
peace,insurance,1.7565,0.04367952421307564
peace,plan,1.5,0.1777665615081787
phone,equipment,4.0315,-0.0514305979013443
physics,chemistry,5.0625,0.2854290306568146
physics,proton,6.125,0.2601346969604492
plane,car,3.5625,0.1000630334019661
planet,galaxy,6.125,0.2140502780675888
planet,moon,6.0,0.20379042625427246
planet,people,3.375,0.02991180308163166
planet,space,5.3125,0.0683167576789856
planet,star,5.625,0.052872683852910995
planet,sun,5.8125,0.21299554407596588
population,development,3.4755,0.09838279336690903
possibility,girl,1.069,0.1045069694519043
practice,institution,3.5625,0.04064613953232765
precedent,collection,1.0625,0.16327616572380066
precedent,example,5.4375,0.21398472785949707
precedent,group,1.5625,0.06158461049199104
precedent,information,2.375,0.06749894469976425
precedent,law,4.375,0.07473289221525192
prejudice,recognition,3.3125,0.06211792305111885
preservation,world,2.4375,0.041232429444789886
president,medal,1.25,0.17797943949699402
problem,airport,1.3125,0.03936663269996643
problem,challenge,6.875,0.08303188532590866
production,crew,3.1875,-0.003791776718571782
production,hike,0.9375,0.1344117522239685
professor,doctor,6.125,0.06595148146152496
profit,loss,3.875,0.23345333337783813
profit,warning,1.6875,-0.1431189626455307
psychology,anxiety,3.75,0.15355394780635834
psychology,clinic,4.344,0.13638807833194733
psychology,depression,5.25,0.12611784040927887
psychology,discipline,3.3125,0.19391170144081116
psychology,doctor,5.294,-0.033588770776987076
psychology,fear,3.1875,0.08100388944149017
psychology,Freud,5.6875,0.229505717754364
psychology,health,4.3625,0.13205112516880035
psychology,mind,5.4375,0.12493272125720978
psychology,psychiatry,6.9375,0.2915763556957245
psychology,science,5.9505,0.22699074447155
reason,criterion,4.625,0.1327950656414032
record,number,3.5,0.05858159810304642
registration,arrangement,3.4375,0.11655454337596893
report,gain,2.25,-0.0005355412722565234
rock,jazz,5.5,0.06468819081783295
rooster,voyage,0.9375,0.12038765847682953
school,center,3.875,0.05694252997636795
seafood,food,6.875,0.12712982296943665
seafood,sea,5.375,0.03170052915811539
secretary,senate,3.75,0.15813107788562775
seven,series,2.25,0.15834976732730865
shower,flood,3.5625,0.10182216018438339
situation,conclusion,3.5625,0.1619890034198761
situation,isolation,1.9375,0.07701068371534348
size,prominence,3.75,0.09387531131505966
skin,eye,2.75,0.1278112530708313
smart,student,3.625,0.04613931104540825
smart,stupid,3.25,0.10065469890832901
soap,opera,3.5625,0.1341036707162857
space,chemistry,1.8875,0.2195136547088623
space,world,4.9375,0.0879826620221138
start,match,2.5,-0.06997658312320709
start,year,1.625,0.12112566828727722
stock,CD,2.4375,0.09132584929466248
stock,egg,1.4375,0.1514984369277954
stock,jaguar,0.9375,0.14768783748149872
stock,life,1.8125,0.05857574939727783
stock,live,1.875,-0.03554726019501686
stock,market,4.875,0.24384115636348724
stock,phone,0.75,0.004137477837502956
street,avenue,7.6875,0.3396964967250824
street,block,6.5625,0.2542708218097687
street,children,1.294,-0.0589577853679657
street,place,4.5,0.09501495957374573
stroke,hospital,3.625,0.06172795593738556
student,professor,4.9375,0.17922508716583252
sugar,approach,0.9375,0.03809315338730812
summer,drought,3.3125,0.07631351798772812
summer,nature,4.0,-0.15605734288692474
telephone,communication,6.6875,0.06669183075428009
television,film,5.75,0.17104890942573547
television,radio,4.625,0.2454691082239151
tennis,racket,5.0,0.1470947116613388
territory,kilometer,2.1875,0.1039869636297226
territory,surface,3.594,0.06223951280117035
theater,history,1.9375,0.08150319755077362
tiger,animal,6.9375,-0.03295213729143143
tiger,cat,6.75,0.15587560832500458
tiger,jaguar,5.75,0.14471274614334106
tiger,organism,3.0625,0.05481664463877678
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.18975003063678741
tool,implement,5.3125,0.24723409116268158
train,car,3.5,0.10840871185064316
travel,activity,4.1875,0.009136254899203777
treatment,recovery,5.3125,0.1921253502368927
type,kind,8.4375,0.12967804074287415
victim,emergency,2.6875,0.029423624277114868
viewer,serial,2.5625,0.11121860891580582
volunteer,motto,1.3815,0.18287786841392517
war,troops,6.375,0.07716231793165207
weapon,secret,2.5,0.09678616374731064
weather,forecast,5.4375,-0.04304635897278786
Wednesday,news,1.125,0.1573614478111267
wood,forest,7.9375,0.05750381946563721
word,similarity,0.8125,0.005333211272954941
