Word 1,Word 2,Human (Mean),Cosine Similarity
soap,opera,3.5625,-0.008069773204624653
space,chemistry,1.8875,0.23894891142845154
space,world,4.9375,0.16726405918598175
start,match,2.5,0.10286512970924377
start,year,1.625,0.18449711799621582
stock,CD,2.4375,0.1256985366344452
stock,egg,1.4375,0.09755021333694458
stock,jaguar,0.9375,0.13916446268558502
stock,life,1.8125,0.115920290350914
stock,live,1.875,0.03878933936357498
stock,market,4.875,0.32029134035110474
stock,phone,0.75,-0.03237803280353546
street,avenue,7.6875,0.41748055815696716
street,block,6.5625,0.32156863808631897
street,children,1.294,0.034873150289058685
street,place,4.5,0.15159675478935242
stroke,hospital,3.625,0.12740996479988098
student,professor,4.9375,0.2680613696575165
sugar,approach,0.9375,0.16204001009464264
summer,drought,3.3125,0.18651020526885986
summer,nature,4.0,-0.01899738609790802
telephone,communication,6.6875,0.1370137631893158
television,film,5.75,0.039538707584142685
television,radio,4.625,0.07841078191995621
tennis,racket,5.0,-0.01210768148303032
territory,kilometer,2.1875,0.10503518581390381
territory,surface,3.594,0.10869403928518295
theater,history,1.9375,0.3126409947872162
tiger,animal,6.9375,0.025915998965501785
tiger,cat,6.75,0.16127988696098328
tiger,jaguar,5.75,0.17240701615810394
tiger,organism,3.0625,0.29405155777931213
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.2930421233177185
tool,implement,5.3125,0.2069476991891861
train,car,3.5,0.3030030429363251
travel,activity,4.1875,0.03233412653207779
treatment,recovery,5.3125,0.12990280985832214
type,kind,8.4375,0.32799482345581055
victim,emergency,2.6875,-0.013520385138690472
viewer,serial,2.5625,0.007472171448171139
volunteer,motto,1.3815,0.0013361168093979359
war,troops,6.375,0.12056012451648712
weapon,secret,2.5,0.23309196531772614
weather,forecast,5.4375,0.019267426803708076
Wednesday,news,1.125,0.15173391997814178
wood,forest,7.9375,0.21122024953365326
word,similarity,0.8125,0.11956605315208435
