Word1,Word2,Human_Score,Computed_Similarity
mile,kilometer,6.9375,0.09875335544347763
minister,party,3.0625,-0.007390399929136038
ministry,culture,2.844,0.05554065853357315
minority,peace,1.1875,-0.05463116243481636
money,bank,6.0,0.14543431997299194
money,cash,8.875,0.0837957113981247
money,cash,9.0315,0.0837957113981247
money,currency,7.9375,-0.04056054353713989
money,deposit,5.375,0.04962199553847313
money,dollar,7.6875,0.029597237706184387
money,laundering,4.4565,0.036490824073553085
money,operation,1.875,0.010078633204102516
money,possession,4.3125,-0.017824089154601097
money,property,5.0625,0.27125388383865356
money,wealth,7.0625,-0.0033916428219527006
money,withdrawal,4.0625,-0.03808063641190529
monk,slave,2.5625,-0.006078299134969711
month,hotel,1.0625,0.1412898302078247
morality,importance,2.5,-0.05629759281873703
morality,marriage,2.375,-0.06792106479406357
movie,critic,3.1875,0.16115985810756683
movie,star,4.3125,0.21255451440811157
movie,theater,6.125,-0.10559717565774918
murder,manslaughter,7.5,0.024225987493991852
museum,theater,3.875,0.12222680449485779
music,project,3.1875,0.0929095447063446
nature,environment,6.9375,0.023459818214178085
nature,man,2.9375,-0.03575791046023369
network,hardware,3.8125,0.1088344007730484
news,report,6.8125,0.18498370051383972
noon,string,0.6875,-0.04773343354463577
observation,architecture,1.875,0.0638345330953598
oil,stock,2.9375,0.17731589078903198
opera,industry,1.194,0.03206964582204819
opera,performance,4.875,0.06986436247825623
peace,atmosphere,2.1875,0.1457153558731079
peace,insurance,1.7565,0.0685589611530304
peace,plan,1.5,0.09593978524208069
phone,equipment,4.0315,0.008966314606368542
physics,chemistry,5.0625,0.10092686861753464
physics,proton,6.125,0.2187597006559372
plane,car,3.5625,0.11781230568885803
planet,galaxy,6.125,-0.023107068613171577
planet,moon,6.0,-0.0008927462622523308
planet,people,3.375,0.02260281704366207
planet,space,5.3125,-0.05583794042468071
planet,star,5.625,0.03143919259309769
planet,sun,5.8125,0.14513854682445526
population,development,3.4755,0.14268901944160461
possibility,girl,1.069,-0.011570753529667854
practice,institution,3.5625,0.04321201518177986
precedent,collection,1.0625,0.08721903711557388
precedent,example,5.4375,0.06879317760467529
precedent,group,1.5625,0.016732804477214813
precedent,information,2.375,0.07540430873632431
precedent,law,4.375,0.0064989859238266945
prejudice,recognition,3.3125,-0.06440465897321701
preservation,world,2.4375,0.00028644592384807765
president,medal,1.25,0.07225920259952545
problem,airport,1.3125,-0.0553378090262413
problem,challenge,6.875,-0.005316188558936119
production,crew,3.1875,0.0659123882651329
production,hike,0.9375,-0.08017147332429886
professor,doctor,6.125,0.15219800174236298
profit,loss,3.875,0.17916424572467804
profit,warning,1.6875,-0.09530778974294662
psychology,anxiety,3.75,-0.038377903401851654
psychology,clinic,4.344,-0.04967913776636124
psychology,depression,5.25,0.0925929993391037
psychology,discipline,3.3125,-0.04595548287034035
psychology,doctor,5.294,-0.04247872903943062
psychology,fear,3.1875,-0.008642392233014107
psychology,Freud,5.6875,-0.0033719066996127367
psychology,health,4.3625,-0.04299920052289963
psychology,mind,5.4375,0.01595515012741089
psychology,psychiatry,6.9375,0.05997564271092415
psychology,science,5.9505,0.09925786405801773
reason,criterion,4.625,0.09322763234376907
record,number,3.5,0.022864297032356262
registration,arrangement,3.4375,-0.018379447981715202
report,gain,2.25,-0.021621469408273697
rock,jazz,5.5,0.017361827194690704
rooster,voyage,0.9375,0.008180102333426476
school,center,3.875,0.12552426755428314
seafood,food,6.875,0.1248830035328865
seafood,sea,5.375,0.024606723338365555
secretary,senate,3.75,0.08872763812541962
seven,series,2.25,-0.03212260082364082
shower,flood,3.5625,0.05464959517121315
situation,conclusion,3.5625,0.035953085869550705
situation,isolation,1.9375,-0.09575308859348297
size,prominence,3.75,0.006097429431974888
skin,eye,2.75,0.06734328716993332
smart,student,3.625,-0.01948760263621807
smart,stupid,3.25,-0.01363782212138176
soap,opera,3.5625,0.045976728200912476
space,chemistry,1.8875,0.054133281111717224
space,world,4.9375,-0.04773439094424248
start,match,2.5,-0.003911891486495733
start,year,1.625,0.10911640524864197
stock,CD,2.4375,-0.05230071395635605
stock,egg,1.4375,-0.08786812424659729
stock,jaguar,0.9375,-0.05616262927651405
stock,life,1.8125,-0.017237139865756035
stock,live,1.875,-0.05227505415678024
stock,market,4.875,0.19685512781143188
stock,phone,0.75,-0.06229080632328987
street,avenue,7.6875,0.3213340938091278
street,block,6.5625,0.22074651718139648
street,children,1.294,-0.05149634927511215
street,place,4.5,0.056317493319511414
stroke,hospital,3.625,-0.06957275420427322
student,professor,4.9375,0.1552855521440506
sugar,approach,0.9375,0.02594415284693241
summer,drought,3.3125,0.03741820156574249
summer,nature,4.0,-0.17947711050510406
telephone,communication,6.6875,-0.021060984581708908
television,film,5.75,0.15231510996818542
television,radio,4.625,0.12504178285598755
tennis,racket,5.0,0.006028314586728811
territory,kilometer,2.1875,-0.01126944087445736
territory,surface,3.594,-0.07872500270605087
theater,history,1.9375,0.04240180924534798
tiger,animal,6.9375,-0.09971913695335388
tiger,cat,6.75,0.11490687727928162
tiger,jaguar,5.75,0.005054616369307041
tiger,organism,3.0625,0.16549444198608398
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.09591206908226013
tool,implement,5.3125,-0.01543337944895029
train,car,3.5,0.09683261811733246
travel,activity,4.1875,-0.08988907933235168
treatment,recovery,5.3125,-0.016226718202233315
type,kind,8.4375,0.02852838672697544
victim,emergency,2.6875,0.08142439275979996
viewer,serial,2.5625,-0.014547300525009632
volunteer,motto,1.3815,0.035969119518995285
war,troops,6.375,0.12443085014820099
weapon,secret,2.5,0.06576108187437057
weather,forecast,5.4375,0.011746332980692387
Wednesday,news,1.125,0.1203240156173706
wood,forest,7.9375,0.001585904392413795
word,similarity,0.8125,0.11013992130756378
